document_id,text
doc_0001,Bobby Bonilla supposedly use the word 'faggot' when he got mad at that author in the clubhouse. Should he be banned from baseball for a year like Schott?
doc_0002,"If a 'dog's prayers were answered, bones would rain from the sky. Did you know that the word 'Karabag' itself is a 'Turkish' name? Before 1827, before the Russians and their 'zavalli kole' Armenians, drove all the Turks/Muslims out, it was a Turkish majority town. Well, anyway, it is not surprising that Armenians also collaborated with the Nazis. ""Wholly opportunistic the Dashnaktzoutun have been variously pro-Nazi, pro-Russia, pro-Soviet Armenia, pro-Arab, pro-Jewish, as well as anti-Jewish, anti-Zionist, anti-Communist, and anti-Soviet - whichever was expedient.""[1] [1] John Roy Carlson (Arthur Derounian), 'Cairo to Damascus,' Alfred A. Knopf, New York, 1951, p. 438. As a dear friend put it, the Tzeghagrons (Armenian Racial Patriots) was the youth organization of the Dashnaktzoutun. It was based in Boston (where ASALA/SDPA/ARF Terrorism Triangle is located) but had followers in Armenian colonies all over the world. Literally Tzeghagron means 'to make a religion of one's race.' The architect of the Armenian Racial Patriots was Garegin Nezhdeh, a Nazi Armenian who became a key leader of collaboration with Hitler in World War II. In 1933, he had been invited to the United States by the Central Committee of the Dashnaktzoutun to inspire and organize the American-Armenian youth. Nezhdeh succeeded in unifying many local Armenian youth groups in the Tzeghagrons. Starting with 20 chapters in the initial year, the Tzeghagrons grew to 60 chapters and became the largest and most powerful Nazi Armenian organization. Nezhdeh also provided the Tzeghagrons with a philosophy: ""The Racial Religious beliefs in his racial blood as a deity. Race above everything and before everything. Race comes first.""[1] [1] Quoted in John Roy Carlson (real name Arthur Derounian), ""The Armenian Displaced Persons,"" in 'Armenian Affairs,' Winter, 1949-50, p. 19, footnote. Now wait, there is more. THE GRUESOME extent of February's killings of Azeris by Armenians in the town of Hojali is at last emerging in Azerbaijan - about 600 men, women and children dead in the worst outrage of the four-year war over Nagorny Karabakh. The figure is drawn from Azeri investigators, Hojali officials and casualty lists published in the Baku press. Diplomats and aid workers say the death toll is in line with their own estimates. The 25 February attack on Hojali by Armenian forces was one of the last moves in their four-year campaign to take full control of Nagorny Karabakh, the subject of a new round of negotiations in Rome on Monday. The bloodshed was something between a fighting retreat and a massacre, but investigators say that most of the dead were civilians. The awful number of people killed was first suppressed by the fearful former Communist government in Baku. Later it was blurred by Armenian denials and grief-stricken Azerbaijan's wild and contradictory allegations of up to 2,000 dead. The State Prosecuter, Aydin Rasulov, the cheif investigator of a 15-man team looking into what Azerbaijan calls the ""Hojali Disaster"", said his figure of 600 people dead was a minimum on preliminary findings. A similar estimate was given by Elman Memmedov, the mayor of Hojali. An even higher one was printed in the Baku newspaper Ordu in May - 479 dead people named and more than 200 bodies reported unidentified. This figure of nearly 700 dead is quoted as official by Leila Yunusova, the new spokeswoman of the Azeri Ministry of Defence. FranCois Zen Ruffinen, head of delegation of the International Red Cross in Baku, said the Muslim imam of the nearby city of Agdam had reported a figure of 580 bodies received at his mosque from Hojali, most of them civilians. ""We did not count the bodies. But the figure seems reasonable. It is no fantasy,"" Mr Zen Ruffinen said. ""We have some idea since we gave the body bags and products to wash the dead."" Mr Rasulov endeavours to give an unemotional estimate of the number of dead in the massacre. ""Don't get worked up. It will take several months to get a final figure,"" the 43-year-old lawyer said at his small office. Mr Rasulov knows about these things. It took him two years to reach a firm conclusion that 131 people were killed and 714 wounded when Soviet troops and tanks crushed a nationalist uprising in Baku in January 1990. Those nationalists, the Popular Front, finally came to power three weeks ago and are applying pressure to find out exactly what happened when Hojali, an Azeri town which lies about 70 miles from the border with Armenia, fell to the Armenians. Officially, 184 people have so far been certified as dead, being the number of people that could be medically examined by the republic's forensic department. ""This is just a small percentage of the dead,"" said Rafiq Youssifov, the republic's chief forensic scientist. ""They were the only bodies brought to us. Remember the chaos and the fact that we are Muslims and have to wash and bury our dead within 24 hours."" Of these 184 people, 51 were women, and 13 were children under 14 years old. Gunshots killed 151 people, shrapnel killed 20 and axes or blunt instruments killed 10. Exposure in the highland snows killed the last three. Thirty-three people showed signs of deliberate mutilation, including ears, noses, breasts or penises cut off and eyes gouged out, according to Professor Youssifov's report. Those 184 bodies examined were less than a third of those believed to have been killed, Mr Rasulov said. Files from Mr Rasulov's investigative commission are still disorganised - lists of 44 Azeri militiamen are dead here, six policemen there, and in handwriting of a mosque attendant, the names of 111 corpses brought to be washed in just one day. The most heartbreaking account from 850 witnesses interviewed so far comes from Towfiq Manafov, an Azeri investigator who took a helicopter flight over the escape route from Hojali on 27 February. ""There were too many bodies of dead and wounded on the ground to count properly: 470-500 in Hojali, 650-700 people by the stream and the road and 85-100 visible around Nakhchivanik village,"" Mr Manafov wrote in a statement countersigned by the helicopter pilot. ""People waved up to us for help. We saw three dead children and one two-year-old alive by one dead woman. The live one was pulling at her arm for the mother to get up. We tried to land but Armenians started a barrage against our helicopter and we had to return."" There has been no consolidation of the lists and figures in circulation because of the political upheavals of the last few months and the fact that nobody knows exactly who was in Hojali at the time - many inhabitants were displaced from other villages taken over by Armenian forces. THE INDEPENDENT, London, 12/6/'92 Serdar Argic"
doc_0003,"Where the hell do you get off calling it ""Arab land""? Jews have been living there for a long time. Jews didn't just start arriving in 1900, they've been living there for thousands of years, except for periods when they were expelled but they always returned home. Steve --"
doc_0004,"Hi Damon, No matter what system or explanation of creation you wish to accept, you always have to start with one of two premises, creation from nothing, or creation from something. There are no other alternatives. And if we accept one or the other of those two premises, then again there are two alternatives, either creation was random, or was according to some plan. If it was random, I am unable to accept that the complex nature of our world with interrelated interdependent organisms and creatures could exist as they do. Therefore I am left with creation under the control of an intelligence capable of devising such a scheme. I call that intelligence God. I also prefer the ""Creatio ex nihilo"" rather than from chaos, as it is cleaner. There is obviously no way to prove either or neither. We are and we must have come from somewhere. Choose whatever explanation you feel most comfortable with, Damon. You are the one who has to live with your choice. Shalom, Len Howard"
doc_0005,"Archive-name: space/addresses Last-modified: $Date: 93/04/01 14:38:55 $ CONTACTING NASA, ESA, AND OTHER SPACE AGENCIES/COMPANIES Many space activities center around large Government or International Bureaucracies. In the US that means NASA. If you have basic information requests: (e.g., general PR info, research grants, data, limited tours, and ESPECIALLY SUMMER EMPLOYMENT (typically resumes should be ready by Jan. 1), etc.), consider contacting the nearest NASA Center to answer your questions. EMail typically will not get you any where, computers are used by investigators, not PR people. The typical volume of mail per Center is a multiple of 10,000 letters a day. Seek the Public Information Office at one of the below, this is their job: NASA (The National Aeronautics and Space Administration) is the civilian space agency of of the United States Federal Government. It reports directly to the White House and is not a Cabinet post such as the military Department of Defense. Its 20K+ employees are civil servants and hence US citizens. Another 100K+ contractors also work for NASA. NASA CENTERS NASA Headquarters (NASA HQ) Washington DC 20546 (202)-358-1600 Ask them questions about policy, money, and things of political nature. Direct specific questions to the appropriate center. NASA Ames Research Center (ARC) Moffett Field, CA 94035 (415)-694-5091 Some aeronautical research, atmosphere reentry, Mars and Venus planetary atmospheres. ""Lead center"" for Helicopter research, V/STOL, etc. Runs Pioneer series of space probes. NASA Ames Research Center Dryden Flight Research Facility [DFRF] P. O. Box 273 Edwards, CA 93523 (805)-258-8381 Aircraft, mostly. Tested the shuttle orbiter landing characteristics. Developed X-1, D-558, X-3, X-4, X-5, XB-70, and of course, the X-15. NASA Goddard Space Flight Center (GSFC) Greenbelt, MD 20771 [Outside of Washington DC] (301)-344-6255 Earth orbiting unmanned satellites and sounding rockets. Developed LANDSAT. Jet Propulsion Laboratory (JPL) California Institute of Technology 4800 Oak Grove Dr. Pasadena, CA 91109 (818)-354-5011 The ""heavies"" in planetary research probes and other unmanned projects (they also had a lot to do with IRAS). They run Voyager, Magellan, Galileo, and will run Cassini, CRAF, etc. etc.. For images, probe navigation, and other info about unmanned exploration, this is the place to go. JPL is run under contract for NASA by the nearby California Institute of Technology, unlike the NASA centers above. This distinction is subtle but critical. JPL has different requirements for unsolicited research proposals and summer hires. For instance in the latter, an SF 171 is useless. Employees are Caltech employees, contractors, and for the most part have similar responsibilities. They offer an alternative to funding after other NASA Centers. A fact sheet and description of JPL is available by anonymous FTP in ames.arc.nasa.gov:pub/SPACE/FAQ/JPLDescription NASA Johnson Manned Space Center (JSC) Houston, TX 77058 (713)-483-5111 JSC manages Space Shuttle, ground control of manned missions. Astronaut training. Manned mission simulators. NASA Kennedy Space Flight Center (KSC) Titusville, FL 32899 (407)-867-2468 Space launch center. You know this one. NASA Langley Research Center (LaRC) Hampton, VA 23665 [Near Newport News, VA] (804)-865-2935 Original NASA site. Specializes in theoretical and experimental flight dynamics. Viking. Long Duration Exposure Facility. NASA Lewis Research Center (LeRC) 21000 Brookpark Rd. Cleveland, OH 44135 (216)-433-4000 Aircraft/Rocket propulsion. Space power generation. Materials research. NASA Marshall Space Flight Center (MSFC) Huntsville, AL 35812 (205)-453-0034 Development, production, delivery of Solid Rocket Boosters, External Tank, Orbiter main engines. Propulsion and launchers. Michoud Assembly Facility Orleans Parish New Orleans, LA 70129 (504)-255-2601 Shuttle external tanks are produced here; formerly Michoud produced first stages for the Saturn V. Stennis Space Center Bay St. Louis, Mississippi 39529 (601)-688-3341 Space Shuttle main engines are tested here, as were Saturn V first and second stages. The center also does remote-sensing and technology-transfer research. Wallops Flight Center Wallops Island, VA 23337 (804)824-3411 Aeronautical research, sounding rockets, Scout launcher. Manager, Technology Utilization Office NASA Scientific and Technical Information Facility Post Office Box 8757 Baltimore, Maryland 21240 Specific requests for software must go thru COSMIC at the Univ. of Georgia, NASA's contracted software redistribution service. You can reach them at cosmic@uga.bitnet. NOTE: Foreign nationals requesting information must go through their Embassies in Washington DC. These are facilities of the US Government and are regarded with some degree of economic sensitivity. Centers cannot directly return information without high Center approval. Allow at least 1 month for clearance. This includes COSMIC. The US Air Force Space Command can be contacted thru the Pentagon along with other Department of Defense offices. They have unacknowledged offices in Los Angeles, Sunnyvale, Colorado Springs, and other locations. They have a budget which rivals NASA in size. ARIANESPACE HEADQUARTERS Boulevard de l'Europe B.P. 177 91006 Evry Cedex France ARIANESPACE, INC. 1747 Pennsylvania Avenue, NW Suite 875 Washington, DC 20006 (202)-728-9075 EUROPEAN SPACE AGENCY (ESA) 955 L'Enfant Plaza S.W. Washington, D.C. 20024 (202)-488-4158 NATIONAL SPACE DEVELOPMENT AGENCY (NASDA) 4-1 Hamamatsu-Cho, 2 Chome Minato-Ku, Tokyo 105, JAPAN SOYUZKARTA 45 Vologradsij Pr. Moscow 109125 USSR SPACE CAMP Alabama Space and Rocket Center U.S. SPACE CAMP 1 Tranquility Base 6225 Vectorspace Blvd Huntsville, AL 35805 Titusville FL 32780 (205)-837-3400 (407)267-3184 Registration and mailing list are handled through Huntsville -- both camps are described in the same brochure. Programs offered at Space Camp are: Space Camp - one week, youngsters completing grades 4-6 Space Academy I - one week, grades 7-9 Aviation Challenge - one week high school program, grades 9-11 Space Academy II - 8 days, college accredited, grades 10-12 Adult Program - 3 days (editorial comment: it's great!) Teachers Program - 5 days SPACE COMMERCE CORPORATION (U.S. agent for Soviet launch services) 504 Pluto Drive 69th flr, Texas Commerce Tower Colorado Springs, CO 80906 Houston, TX 77002 (719)-578-5490 (713)-227-9000 SPACEHAB 600 Maryland Avenue, SW Suite 201 West Washington, DC 20004 (202)-488-3483 SPOT IMAGE CORPORATION 1857 Preston White Drive, Reston, VA 22091 (FAX) (703)-648-1813 (703)-620-2200 OTHER COMMERCIAL SPACE BUSINESSES Vincent Cate maintains a list with addresses and some info for a variety of companies in space-related businesses. This is mailed out on the space-investors list he runs (see the ""Network Resources"" FAQ) and is also available by anonymous ftp from furmint.nectar.cs.cmu.edu (128.2.209.111) in /usr/vac/ftp/space-companies."
doc_0006,"How big of a lightning rod, would you need for protection? and would you need jupiter as a ground plane."
doc_0007,"[Long silly discussion deleted...] This suggestion isn't as far-fetched as it sounds. Years ago in another time and place, I used to do oil changes in boats powered by automotive engines. In many cases, there was no way to get any sort of a tray under the oil pan because it was boxed in by the bottom of the hull and various floation chambers on each side. And if you *did* get something there, you'd spill all the oil out of it for sure trying to get it back out again. So we used a small pump powered by an electric drill to suck the oil out the dipstick hole. There was a long/thin hose on the inlet side designed to fit down the dipstick tube, and another, thicker/shorter hose on the outlet side that you put into any convenient container. I'm sure these gadgets are still available from marine hardware suppliers if you want one."
doc_0008,"Yea, I think not also. Israel's #1 issue is ""Security"" so *any* outcomes of ""negotiation"" certainly need to address ISREAL'S perception of this issue. The problem is is defining (by ""outsiders"", by Israel, and by the Arabs themselves) what is the #1 issue to the Arab side. Is it ""Palestinian statehood"", is it that Israel as a state should not and must not be allowed to exist, is it that the existence of a self-governing non- muslim ""state"" in the ""Islamic World"" is intolerable...what? Just as the dividing line between Israel-fighting-for-security and Israel-fighting- to-expand is often hard to discern by ""outsiders"" (especially to the Arab world), so the rationale behind the Arab-struggle-to-undermine-Israel-in- any-way could either be based on visceral rejectionism or a sense of being wronged that still values peace, who knows which. Anyway, in these talks, what ""gestures"" would you think would be seen by Israel as ""substantial""?"
doc_0009,"I've been to three talks in the last month which might be of interest. I've transcribed some of my notes below. Since my note taking ability is by no means infallible, please assume that all factual errors are mine. Permission is granted to copy this without restriction. Note for newbies: The Delta Clipper project is geared towards producing a single staget to orbit, reusable launch vehicle. The DC-X vehicle is a 1/3 scale vehicle designed to test some of the concepts invovled in SSTO. It is currently undergoing tests. The DC-Y vehicle would be a full scale experimental vehicle capable of reaching orbit. It has not yet been funded. On April 6th, Rocky Nelson of MacDonnell Douglas gave a talk entitled ""Optimizing Techniques for Advanced Space Missions"" here at the University of Illinois. Mr Nelson's job involves using software to simulate trajectories and determine the optimal trajectory within given requirements. Although he is not directly involved with the Delta Clipper project, he has spent time with them recently, using his software for their applications. He thus used the DC-Y project for most of his examples. While I don't think the details of implicit trajectory simulation are of much interest to the readers (I hope they aren't - I fell asleep during that part), I think that many of you will be interested in some of the details gleaned from the examples. The first example given was the maximization of payload for a polar orbit. The main restriction is that acceleration must remain below 3 Gs. I assume that this is driven by passenger constraints rather than hardware constraints, but I did not verify that. The Delta Clipper Y version has 8 engines - 4 boosters and 4 sustainers. The boosters, which have a lower isp, are shut down in mid-flight. Thus, one critical question is when to shut them down. Mr Nelson showed the following plot of acceleration vs time: ______ 3 G /| / | / | / | As ASCII graphs go, this is actually fairly / | / | good. The big difference is that the lines 2 G / |/ | made by the / should be curves which are / | concave up. The data is only approximate, as / | the graph wasn't up for very long. 1 G / | | | 0 G | ^ ^ ~100 sec ~400 sec As mentioned before, a critical constraint is that G levels must be kept below 3. Initially, all eight engines are started. As the vehicle burns fuel the accelleration increases. As it gets close to 3G, the booster engines are throtled back. However, they quickly become inefficient at low power, so it soon makes more sense to cut them off altogether. This causes the dip in accelleration at about 100 seconds. Eventually the remaining sustainer engines bring the G level back up to about 3 and then hold it there until they cut out entirely. The engine cutoff does not acutally occur in orbit. The trajectory is aimed for an altitude slightly higher than the 100nm desired and the last vestiges of air drag slow the vehicle slightly, thus lowering the final altitude to that desired. Questions from the audience: (paraphrased) Q: Would it make sense to shut down the booster engines in pairs, rather than all at once? A: Very perceptive. Worth considering. They have not yet done the simulation. Shutting down all four was part of the problem as given. Q: So what was the final payload for this trajectory? A: Can't tell us. ""Read Aviation Leak."" He also apparently had a good propulsion example, but was told not to use it. My question: Does anyone know if this security is due to SDIO protecting national security or MD protecting their own interests? The second example was reentry simulation, from orbit to just before the pitch up maneuver. The biggest constraint in this one is aerodynamic heating, and the parameter they were trying to maximize was crossrange. He showed graphs of heating using two different models, to show that both were very similar, and I think we were supposed to assume that this meant they were very accurate. The end result was that for a polar orbit landing at KSC, the DC-Y would have about 30 degrees of crossrange and would start it's reentry profile about 60 degrees south latitude. I would have asked about the landing maneuvers, but he didn't know about that aspect of the flight profile."
doc_0010,"Would it be asking too much for you to DOCUMENT these allegations of ""Israel used to arrest and kill neutral reporters""? I think you confuse Israel with other nations of that geographical region to which the notion of a free, unmonitored by the government, press corps would be a joke."
